provinsi,komuter_perdesaan_total,pct_perdesaan,tahun,sumber
Aceh,26991,37.0,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sumatera Utara,72165,17.7,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sumatera Barat,39535,36.9,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Riau,8822,26.0,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Jambi,23941,47.8,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sumatera Selatan,36085,35.7,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Bengkulu,11376,35.9,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Lampung,67929,49.0,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Kep. Bangka Belitung,9046,29.5,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
DKI Jakarta,0,0.0,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Jawa Barat,99702,5.0,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Jawa Tengah,357553,33.6,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
DI Yogyakarta,51413,18.3,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Jawa Timur,227009,26.1,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Banten,34953,6.4,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Bali,43316,17.3,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Nusa Tenggara Barat,29399,23.0,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Nusa Tenggara Timur,10914,35.0,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Kalimantan Barat,21729,28.5,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Kalimantan Tengah,7541,76.3,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Kalimantan Selatan,40759,34.7,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Kalimantan Timur,2779,11.4,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sulawesi Utara,19438,29.9,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sulawesi Tengah,8709,31.2,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sulawesi Selatan,53456,32.9,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sulawesi Tenggara,10204,35.1,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Gorontalo,9174,30.7,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Sulawesi Barat,5142,61.9,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Maluku,3946,43.1,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Maluku Utara,2841,52.3,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Papua Barat Daya,872,14.5,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
Papua,1374,23.7,2024,BPS SUSENAS Maret 2024 via SMPTK 2024
