provinsi,tahun,migrasi_masuk,migrasi_keluar,migrasi_neto,sumber
Aceh,1980,51208.0,28248.0,22960.0,BPS Sensus/SUPAS
Sumatera Utara,1980,95586.0,177289.0,-81703.0,BPS Sensus/SUPAS
Sumatera Barat,1980,93117.0,153239.0,-60122.0,BPS Sensus/SUPAS
Riau,1980,98652.0,53757.0,44895.0,BPS Sensus/SUPAS
Jambi,1980,107273.0,36178.0,71095.0,BPS Sensus/SUPAS
Sumatera Selatan,1980,221165.0,132011.0,89154.0,BPS Sensus/SUPAS
Bengkulu,1980,66902.0,15899.0,51003.0,BPS Sensus/SUPAS
Lampung,1980,507803.0,45594.0,462209.0,BPS Sensus/SUPAS
Bangka Belitung,1980,,,,BPS Sensus/SUPAS
Kepulauan Riau,1980,,,,BPS Sensus/SUPAS
Jakarta Raya,1980,766363.0,382326.0,384037.0,BPS Sensus/SUPAS
Jawa Barat,1980,551960.0,468441.0,83519.0,BPS Sensus/SUPAS
Jawa Tengah,1980,183761.0,908302.0,-724541.0,BPS Sensus/SUPAS
Yogyakarta,1980,98856.0,72933.0,25923.0,BPS Sensus/SUPAS
Jawa Timur,1980,203175.0,570555.0,-367380.0,BPS Sensus/SUPAS
Banten,1980,,,,BPS Sensus/SUPAS
Bali,1980,37254.0,52404.0,-15150.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,1980,26221.0,38987.0,-12766.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,1980,25976.0,34713.0,-8737.0,BPS Sensus/SUPAS
Kalimantan Barat,1980,39380.0,28431.0,10949.0,BPS Sensus/SUPAS
Kalimantan Tengah,1980,49699.0,15989.0,33710.0,BPS Sensus/SUPAS
Kalimantan Selatan,1980,61704.0,46061.0,15643.0,BPS Sensus/SUPAS
Kalimantan Timur,1980,112620.0,20334.0,92286.0,BPS Sensus/SUPAS
Kalimantan Utara,1980,,,,BPS Sensus/SUPAS
Sulawesi Utara,1980,45498.0,38259.0,7239.0,BPS Sensus/SUPAS
Sulawesi Tengah,1980,83595.0,17282.0,66313.0,BPS Sensus/SUPAS
Sulawesi Selatan,1980,65208.0,147855.0,-82647.0,BPS Sensus/SUPAS
Sulawesi Tenggara,1980,51014.0,29575.0,21439.0,BPS Sensus/SUPAS
Gorontalo,1980,,,,BPS Sensus/SUPAS
Sulawesi Barat,1980,,,,BPS Sensus/SUPAS
Maluku,1980,46904.0,26995.0,19909.0,BPS Sensus/SUPAS
Maluku Utara,1980,,,,BPS Sensus/SUPAS
Papua Barat,1980,,,,BPS Sensus/SUPAS
Papua,1980,33420.0,16191.0,17229.0,BPS Sensus/SUPAS
Aceh,1985,37692.0,21269.0,16423.0,BPS Sensus/SUPAS
Sumatera Utara,1985,59600.0,163858.0,-104258.0,BPS Sensus/SUPAS
Sumatera Barat,1985,75757.0,133285.0,-57528.0,BPS Sensus/SUPAS
Riau,1985,91881.0,45656.0,46225.0,BPS Sensus/SUPAS
Jambi,1985,52647.0,32160.0,20487.0,BPS Sensus/SUPAS
Sumatera Selatan,1985,105064.0,111645.0,-6581.0,BPS Sensus/SUPAS
Bengkulu,1985,33386.0,14082.0,19304.0,BPS Sensus/SUPAS
Lampung,1985,126677.0,85136.0,41541.0,BPS Sensus/SUPAS
Bangka Belitung,1985,,,,BPS Sensus/SUPAS
Kepulauan Riau,1985,,,,BPS Sensus/SUPAS
Jakarta Raya,1985,684001.0,398737.0,285264.0,BPS Sensus/SUPAS
Jawa Barat,1985,560460.0,350074.0,210386.0,BPS Sensus/SUPAS
Jawa Tengah,1985,171473.0,607532.0,-436059.0,BPS Sensus/SUPAS
Yogyakarta,1985,112331.0,102453.0,9878.0,BPS Sensus/SUPAS
Jawa Timur,1985,165731.0,336177.0,-170446.0,BPS Sensus/SUPAS
Banten,1985,,,,BPS Sensus/SUPAS
Bali,1985,23565.0,26688.0,-3123.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,1985,26762.0,15722.0,11040.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,1985,20050.0,24598.0,-4548.0,BPS Sensus/SUPAS
Kalimantan Barat,1985,19331.0,18534.0,797.0,BPS Sensus/SUPAS
Kalimantan Tengah,1985,33328.0,18306.0,15022.0,BPS Sensus/SUPAS
Kalimantan Selatan,1985,55752.0,50782.0,4970.0,BPS Sensus/SUPAS
Kalimantan Timur,1985,83976.0,30456.0,53520.0,BPS Sensus/SUPAS
Kalimantan Utara,1985,,,,BPS Sensus/SUPAS
Sulawesi Utara,1985,14783.0,30230.0,-15447.0,BPS Sensus/SUPAS
Sulawesi Tengah,1985,28067.0,12008.0,16059.0,BPS Sensus/SUPAS
Sulawesi Selatan,1985,48453.0,89819.0,-41366.0,BPS Sensus/SUPAS
Sulawesi Tenggara,1985,69547.0,12771.0,56776.0,BPS Sensus/SUPAS
Gorontalo,1985,,,,BPS Sensus/SUPAS
Sulawesi Barat,1985,,,,BPS Sensus/SUPAS
Maluku,1985,23860.0,24547.0,-687.0,BPS Sensus/SUPAS
Maluku Utara,1985,,,,BPS Sensus/SUPAS
