provinsi,pct_migran_masuk_risen,pct_migran_keluar_risen,tahun,neto_pct,sumber
Aceh,0.3,0.6,2023,-0.3,BPS SUSENAS Maret 2023
Sumatera Utara,0.6,0.7,2023,-0.09999999999999998,BPS SUSENAS Maret 2023
Sumatera Barat,1.7,1.0,2023,0.7,BPS SUSENAS Maret 2023
Riau,0.8,1.0,2023,-0.19999999999999996,BPS SUSENAS Maret 2023
Jambi,0.9,0.9,2023,0.0,BPS SUSENAS Maret 2023
Sumatera Selatan,0.5,0.7,2023,-0.19999999999999996,BPS SUSENAS Maret 2023
Bengkulu,0.8,0.7,2023,0.10000000000000009,BPS SUSENAS Maret 2023
Lampung,0.8,0.6,2023,0.20000000000000007,BPS SUSENAS Maret 2023
Kep. Bangka Belitung,1.0,0.7,2023,0.30000000000000004,BPS SUSENAS Maret 2023
Kepulauan Riau,3.4,1.7,2023,1.7,BPS SUSENAS Maret 2023
DKI Jakarta,1.4,4.2,2023,-2.8000000000000003,BPS SUSENAS Maret 2023
Jawa Barat,0.7,0.6,2023,0.09999999999999998,BPS SUSENAS Maret 2023
Jawa Tengah,1.1,0.7,2023,0.40000000000000013,BPS SUSENAS Maret 2023
DI Yogyakarta,2.6,1.4,2023,1.2000000000000002,BPS SUSENAS Maret 2023
Jawa Timur,0.5,0.4,2023,0.09999999999999998,BPS SUSENAS Maret 2023
Banten,0.7,1.0,2023,-0.30000000000000004,BPS SUSENAS Maret 2023
Bali,0.7,0.8,2023,-0.10000000000000009,BPS SUSENAS Maret 2023
Nusa Tenggara Barat,1.4,0.2,2023,1.2,BPS SUSENAS Maret 2023
Nusa Tenggara Timur,1.1,0.6,2023,0.5000000000000001,BPS SUSENAS Maret 2023
Kalimantan Barat,0.3,0.4,2023,-0.10000000000000003,BPS SUSENAS Maret 2023
Kalimantan Tengah,0.9,0.9,2023,0.0,BPS SUSENAS Maret 2023
Kalimantan Selatan,0.8,0.8,2023,0.0,BPS SUSENAS Maret 2023
Kalimantan Timur,0.9,1.5,2023,-0.6,BPS SUSENAS Maret 2023
Kalimantan Utara,1.0,1.9,2023,-0.8999999999999999,BPS SUSENAS Maret 2023
Sulawesi Utara,0.5,0.9,2023,-0.4,BPS SUSENAS Maret 2023
Sulawesi Tengah,0.8,0.6,2023,0.20000000000000007,BPS SUSENAS Maret 2023
Sulawesi Selatan,0.8,0.7,2023,0.10000000000000009,BPS SUSENAS Maret 2023
Sulawesi Tenggara,0.9,0.6,2023,0.30000000000000004,BPS SUSENAS Maret 2023
Gorontalo,0.5,0.4,2023,0.09999999999999998,BPS SUSENAS Maret 2023
Sulawesi Barat,0.9,1.1,2023,-0.20000000000000007,BPS SUSENAS Maret 2023
