polygon_name,tahun,movement_change_mean,movement_change_min,movement_change_max,stay_put_mean,n_records
Aceh Barat,2021,0.004487452054794521,-0.2862,0.33305,0.18457032876712332,365
Aceh Barat,2022,-0.12138415492957748,-0.36372,0.14992,0.24089521126760566,142
Aceh Barat Daya,2021,-0.012144054794520548,-0.25276,0.50708,0.1905691506849315,365
Aceh Barat Daya,2022,-0.14048112676056337,-0.32592,0.2292,0.2568433802816902,142
Aceh Besar,2021,-0.060512219178082194,-0.33311,0.11965,0.17140331506849316,365
Aceh Besar,2022,-0.1610407042253521,-0.46279,0.0834,0.2193806338028169,142
Aceh Jaya,2021,0.02807895890410959,-0.26114,0.33969,0.20212663013698629,365
Aceh Jaya,2022,-0.06842732394366198,-0.39681,0.38829,0.24517316901408454,142
Aceh Selatan,2021,-0.019206,-0.25326,0.37552,0.22446013698630135,365
Aceh Selatan,2022,-0.11311830985915493,-0.37883,0.23693,0.27717514084507044,142
Aceh Singkil,2021,-0.014658794520547944,-0.28233,0.40782,0.21079350684931505,365
Aceh Singkil,2022,-0.15240239436619718,-0.4002,0.31428,0.26558274647887326,142
Aceh Tamiang,2021,0.0010737808219178082,-0.30545,0.35233,0.2131234794520548,365
Aceh Tamiang,2022,-0.1539261267605634,-0.38033,0.29079,0.2776892957746479,142
Aceh Tengah,2021,0.023554493150684933,-0.24909,0.48649,0.20259791780821917,365
Aceh Tengah,2022,-0.1092574647887324,-0.43181,0.46539,0.2576481690140845,142
Aceh Tenggara,2021,0.050083643835616434,-0.27463,0.28954,0.2243544383561644,365
Aceh Tenggara,2022,-0.10880197183098592,-0.37993,0.21888,0.2729664084507042,142
Aceh Timur,2021,0.0016507967032967034,-0.26754,0.50664,0.21201076923076922,364
Aceh Timur,2022,-0.11561225352112676,-0.39207,0.48437,0.27367521126760563,142
Aceh Utara,2021,-0.01267268493150685,-0.32739,0.50164,0.20665578082191782,365
Aceh Utara,2022,-0.14830915492957747,-0.45393,0.24019,0.26400070422535216,142
Agam,2021,-0.05178002739726027,-0.35135,0.13579,0.21520569863013697,365
Agam,2022,-0.20484323943661972,-0.43013,0.27669,0.27696591549295774,142
Alor,2021,-0.08335964383561643,-0.45728,0.06551,0.21288769863013698,365
Alor,2022,-0.18283161971830986,-0.35915,-0.01001,0.25915739436619717,142
Ambon,2021,-0.01591367123287671,-0.39133,0.17319,0.25442509589041096,365
Ambon,2022,-0.12382767605633803,-0.31508,0.0934,0.28778556338028166,142
Asahan,2021,-0.024723424657534243,-0.34278,0.30618,0.20704312328767124,365
Asahan,2022,-0.2005261971830986,-0.46964,0.28151,0.2603012676056338,142
Asmat,2021,-0.04547128767123288,-0.33171,0.25023,0.26819164383561644,365
Asmat,2022,-0.10563048780487805,-0.42947,0.09093,0.2984470731707317,41
Badung,2021,-0.22549312328767124,-0.79744,-0.0355,0.19394501369863013,365
Badung,2022,-0.35995225352112675,-0.80054,-0.02192,0.24078584507042253,142
Balangan,2021,-0.12313972602739726,-0.40961,0.02729,0.22131915068493152,365
Balangan,2022,-0.2807830985915493,-0.50739,0.05825,0.29177499999999995,142
Balikpapan,2021,-0.13438476712328767,-0.46798,0.02159,0.2392954794520548,365
Balikpapan,2022,-0.27223091549295775,-0.49213,-0.03491,0.2804601408450704,142
Banda Aceh,2021,-0.1118521095890411,-0.37984,0.14964,0.17111279452054795,365
Banda Aceh,2022,-0.21251429577464787,-0.49527,0.11473,0.22453014084507042,142
Bandar Lampung,2021,-0.16581254794520547,-0.43892,-0.0142,0.21862060273972603,365
Bandar Lampung,2022,-0.32872387323943664,-0.54419,-0.06435,0.28214654929577465,142
Bandung,2021,-0.1544034794520548,-0.46531,0.02793,0.25106841095890414,365
Bandung,2022,-0.3062489436619718,-0.60278,-0.03286,0.3114454225352113,142
Bandung Barat,2021,-0.16319813698630137,-0.45268,0.02602,0.24578660273972602,365
Bandung Barat,2022,-0.2970518309859155,-0.57371,-0.0178,0.2983481690140845,142
Banggai,2021,-0.009488575342465753,-0.27529,0.1481,0.24533430136986303,365
Banggai,2022,-0.13891330985915493,-0.32285,0.21861,0.2843394366197183,142
Banggai Kepulauan,2021,-0.03127041095890411,-0.21068,0.17106,0.2271552602739726,365
Banggai Kepulauan,2022,-0.14247147887323944,-0.35568,0.12701,0.2748288732394366,142
Bangka,2021,-0.0786167397260274,-0.36944,0.08266,0.20850654794520548,365
Bangka,2022,-0.22350908450704224,-0.41471,0.07576,0.26437929577464786,142
Bangka Barat,2021,-0.023384328767123288,-0.28307,0.13341,0.21111265753424655,365
Bangka Barat,2022,-0.1410732394366197,-0.33494,0.25431,0.25463021126760566,142
Bangka Selatan,2021,-0.04013616438356164,-0.30615,0.22172,0.22464205479452054,365
Bangka Selatan,2022,-0.16631823943661972,-0.40629,0.2832,0.2732945070422535,142
Bangka Tengah,2021,-0.06821093150684931,-0.35975,0.12866,0.21257473972602742,365
Bangka Tengah,2022,-0.22030295774647887,-0.40027,0.03145,0.27437077464788734,142
Bangkalan,2021,-0.10009268493150686,-0.41327,0.13089,0.22211605479452057,365
Bangkalan,2022,-0.18895147887323943,-0.46175,0.06869,0.27048408450704226,142
Bangli,2021,-0.16811087671232877,-0.73947,0.05848,0.20456893150684932,365
Bangli,2022,-0.3273733098591549,-0.75698,-0.07117,0.26363612676056336,142
Banjar,2021,-0.09474528767123289,-0.43911,0.09995,0.21028868493150685,730
Banjar,2022,-0.2552337323943662,-0.50723,0.11763,0.269910176056338,284
Banjar Baru,2021,-0.12242145205479452,-0.45927,0.03145,0.20114068493150683,365
Banjar Baru,2022,-0.2809388028169014,-0.5136,-0.0424,0.25942098591549295,142
Banjarmasin,2021,-0.1414112602739726,-0.46051,-0.02594,0.21002589041095893,365
Banjarmasin,2022,-0.28630901408450704,-0.52071,-0.0524,0.26512584507042253,142
Banjarnegara,2021,-0.1260868219178082,-0.433,0.17939,0.258934,365
Banjarnegara,2022,-0.2811325352112676,-0.53642,0.08839,0.32960528169014086,142
Bantaeng,2021,-0.03346139726027397,-0.37534,0.16133,0.1971427123287671,365
Bantaeng,2022,-0.17890021126760564,-0.38858,0.11346,0.24771661971830983,142
Bantul,2021,-0.1614985205479452,-0.46146,0.0046,0.1965784383561644,365
Bantul,2022,-0.3327715492957746,-0.57324,0.00883,0.2595692957746479,142
Banyu Asin,2021,-0.12495315068493151,-0.41462,0.04683,0.238948602739726,365
Banyu Asin,2022,-0.2785933802816901,-0.47678,0.02163,0.2985481690140845,142
