tahun,bulan,nama_bulan,movement_change
2021,1,January,-0.08078646571467063
2021,2,February,-0.09584753395015669
2021,3,March,-0.06445279159086315
2021,4,April,-0.05447769209315298
2021,5,May,-0.012259116631692954
2021,6,June,-0.024244383361204016
2021,7,July,-0.11536608182798597
2021,8,August,-0.0893745966709347
2021,9,September,-0.029734291291919405
2021,10,October,0.0010441137146329933
2021,11,November,-0.04476930092462875
2021,12,December,-0.015532726902450614
2022,1,January,-0.08069880954012747
2022,2,February,-0.26702162367572546
2022,3,March,-0.23170921467787892
2022,4,April,-0.24536337060011543
2022,5,May,-0.1478284976247031
